series,horizon_years,entry,n,median,mean,worst,best,share_negative,p5,p95
S&P 500 price (1928-),1,within 1% of high,3817,0.09215138916265309,0.08140541548366544,-0.42150401056972553,0.5461613125746827,0.2879224521875819,-0.16054695789106832,0.30979357490677145
S&P 500 price (1928-),1,within 5% of high,8719,0.08574258215180786,0.08073794418347977,-0.44705853869606893,0.5665126387076975,0.293038192453263,-0.16026704577112155,0.32084209226545424
S&P 500 price (1928-),1,10%+ below high,12891,0.10444979178458702,0.08399259806559205,-0.7107491891283367,1.711111068725586,0.3040105499961213,-0.3202540079496997,0.4119919558917591
S&P 500 price (1928-),1,20%+ below high,9035,0.09671981894812998,0.08002860350716129,-0.7107491891283367,1.711111068725586,0.3137797454344217,-0.3471309202241764,0.4467457121566021
S&P 500 price (1928-),3,random day,24040,0.08050607567458667,0.06654883516296436,-0.4603440472051117,0.3921345946613479,0.20861064891846923,-0.12168295125451287,0.2283350367080256
S&P 500 price (1928-),3,new all-time high day,1340,0.07273022280523533,0.0539540699593899,-0.4603440472051117,0.30421196522808636,0.18059701492537314,-0.21170226837864817,0.2440335814555633
S&P 500 price (1928-),3,within 1% of high,3578,0.07603807355752401,0.06224527749352559,-0.4603440472051117,0.3048990422741742,0.15707098937954164,-0.13406158309905777,0.24182286767382813
S&P 500 price (1928-),3,within 5% of high,8325,0.07696383276779128,0.06398506865763155,-0.4603440472051117,0.3048990422741742,0.17933933933933935,-0.12344971210047266,0.24704554089652694
S&P 500 price (1928-),3,10%+ below high,12853,0.08659572687876449,0.06949408539447678,-0.3784330105342494,0.3921345946613479,0.22002645296817863,-0.12144852176068777,0.21998629561826397
S&P 500 price (1928-),3,20%+ below high,9035,0.08529027278665002,0.06802633167385193,-0.37513176988034913,0.3921345946613479,0.22446043165467625,-0.13241210008416127,0.22685986630342156
S&P 500 price (1928-),5,random day,23536,0.08003112584123329,0.0671053091171081,-0.2293677229328135,0.3108680781284472,0.19548776342624066,-0.06312749727547065,0.17650816781828715
S&P 500 price (1928-),5,new all-time high day,1323,0.07688730959472045,0.05894612906016818,-0.2293677229328135,0.24829963015828693,0.21315192743764172,-0.15057394624475867,0.2041049156051773
S&P 500 price (1928-),5,within 1% of high,3537,0.08092046592312996,0.06763280152956974,-0.2293677229328135,0.2487044272299943,0.18405428329092452,-0.141192063024596,0.19721355239792918
S&P 500 price (1928-),5,within 5% of high,8226,0.08279811189937514,0.0709586122789346,-0.2293677229328135,0.26125644326949504,0.19523462193046437,-0.05053785191777471,0.2006009133889624
S&P 500 price (1928-),5,10%+ below high,12557,0.07736825956263016,0.06507124287365439,-0.2110020053337769,0.3108680781284472,0.1862706060364737,-0.07505306899198179,0.16735506517619217
S&P 500 price (1928-),5,20%+ below high,8979,0.0749235849680907,0.0640125409919183,-0.19476132158468362,0.3108680781284472,0.19467646731261834,-0.09934437069022181,0.16944973105875957
